DESTINATION ID,Place Name,Tourist Location,Budget,Duration (IN DAYS),Best Time to Visit,Popularity,Review,Type
1,"Agra, Uttar Pradesh",Taj Mahal,1000,3,Year-round,High,"""Impressive architecture, loved the visit.""",Historical
2,"Agra, Uttar Pradesh",Agra Fort,1200,4,Year-round,High,"""Historical marvel, enjoyed exploring.""",Historical
3,"Agra, Uttar Pradesh",Fatehpur Sikri,1300,5,Winter,Medium,"""Fascinating historical site, great visit.""",Historical
4,"Agra, Uttar Pradesh",Akbar Tomb Sikandra,1100,3,Year-round,High,"""Beautiful tomb, peaceful atmosphere.""",Historical
5,"Agra, Uttar Pradesh",Mariam tomb Sikandra,1000,3,Year-round,Medium,"""Serene and well-maintained tomb.""",Historical
6,"Agra, Uttar Pradesh",Itimad-ud-Daulah-Tomb,900,2,Year-round,Medium,"""Hidden gem, enjoyed the architecture.""",Historical
7,"Agra, Uttar Pradesh",Ram Bagh,800,2,Year-round,Low,"""Quiet garden, good for a stroll.""",Nature
8,"Agra, Uttar Pradesh",Mehtab Bagh,900,2,Year-round,Medium,"""Scenic views of the Taj Mahal.""",Nature
9,"Agra, Uttar Pradesh",Mausoleum,950,3,Year-round,Medium,"""Rich history, worth a visit.""",Historical
10,"Lucknow, Uttar Pradesh",Site of Sahet mahet,1200,4,Winter,Medium,"""Cultural heritage, enjoyed exploring.""",Historical
11,"Lucknow, Uttar Pradesh",Residency Building,1100,3,Winter,Low,"""Historical site, informative visit.""",Historical
12,"Lucknow, Uttar Pradesh",Piprahwa & Ganwaria,1400,5,Spring,High,"""Serene surroundings, peaceful experience.""",Nature
13,"Jhansi, Uttar Pradesh",Gupta Temple & Varah Temple,1000,3,Year-round,Medium,"""Architectural beauty, peaceful ambiance.""",Historical
14,"Jhansi, Uttar Pradesh",Kalinjar Fort,1300,5,Winter,High,"""Historical fort, stunning views.""",Historical
15,"Jhansi, Uttar Pradesh",Rani Lakshmi Bai Mahal,1100,4,Winter,Medium,"""Tribute to a brave queen.""",Historical
16,"Jhansi, Uttar Pradesh",Rani Jhansi Fort,1200,4,Winter,Medium,"""Rich history, well-preserved fort.""",Historical
17,"Sarnath, Uttar Pradesh",Lord Cornwallis Tomb,900,2,Year-round,Low,"""Peaceful atmosphere, enjoyed the visit.""",Historical
18,"Sarnath, Uttar Pradesh","Old Fort (Shahi Fort), Jaunpur",1000,3,Year-round,Medium,"""Historical significance, informative visit.""",Historical
19,"Sarnath, Uttar Pradesh",Observatory of Man Singh,1100,3,Year-round,High,"""Astronomical marvel, interesting visit.""",Historical
20,"Sarnath, Uttar Pradesh",Excavated Remains at Sarnath,950,2,Year-round,Medium,"""Archaeological site, well-preserved.""",Historical
21,"Sarnath, Uttar Pradesh",Tomb of Lal Khan,850,2,Year-round,Low,"""Simple tomb, historical significance.""",Historical
22,Goa,Baga Beach,800,7,Winter,High,"""Fantastic beach vibes, wonderful time.""",Beach
23,Goa,Anjuna Beach,900,6,Winter,High,"""Lively atmosphere, enjoyed the beach party.""",Beach
24,Goa,Dudhsagar Waterfalls,1200,5,Monsoon,Medium,"""Spectacular waterfall, thrilling experience.""",Nature
25,"Bekal Fort, Kasargod, Kerala",Bekal Fort,1100,4,Winter,High,"""Scenic beauty, enjoyed the historic fort.""",Historical
26,"Mattancherry Palace, Kochi, Kerala",Mattancherry Palace Museum Kochi,1200,3,Year-round,Medium,"""Cultural insights, well-maintained museum.""",Historical
27,"Palakkad Fort, Palakkad, Kerala","Fort, Palakkad, Palakkad",1000,3,Year-round,Medium,"""Historical charm, pleasant visit.""",Historical
28,"Fort St. Angelo, Kannur, Kerala","Fort St. Angelo, Kannur",1300,5,Winter,High,"""Picturesque fort, breathtaking views.""",Historical
29,"Group of Monuments, Mamallapuram, Chennai",Group of Monuments Mamallapuram,900,2,Year-round,High,"""Incredible sculptures, learned a lot.""",Historical
30,"Gingee Fort, Chennai","Gingee Fort, Gingee",1000,3,Winter,Medium,"""Impressive fort, enjoyed the trek.""",Historical
31,"Tiger-headed Rock cut temple & two other monuments, Saluvankuppam, Chennai",Saluvankuppam,950,3,Year-round,Medium,"""Unique architecture, informative visit.""",Historical
32,"Fort on Rock, Dindigul, Tiruchirappalli","Fort on Rock, Dindigul",1100,4,Year-round,High,"""Stunning views from the fort.""",Historical
33,"Moovarkoil, Kodumbalur, Tiruchirappalli","Moovarkoil, Kodumbalur",1200,4,Winter,Medium,"""Rich cultural heritage, peaceful surroundings.""",Historical
34,"Rock-cut Jain Temple, Sittannavasasl, Tiruchirappalli",Rock-cut Jain Temple,1000,3,Year-round,Medium,"""Artistic marvel, spiritual experience.""",Historical
35,"Tirumalai Nayak's Palace, Srivilliputhur, Tiruchirappalli",Tirumalai Nayak's Palace,900,2,Year-round,Low,"""Historical palace, moderate experience.""",Historical
36,"Natural Cave with inscription eladipattam, Sittannavasal, Tiruchirappalli",Sittannavasal,950,2,Year-round,Medium,"""Ancient cave, interesting inscriptions.""",Historical
37,"Fort Museum, Thirumayam, Tiruchirappalli","Fort Museum, Thirumayam",850,2,Year-round,Low,"""Small museum, gained historical insights.""",Historical
38,"Fort Vattakottai, Tiruchirappalli",Fort Vattakottai,900,2,Year-round,Medium,"""Well-preserved fort, nice trek.""",Historical
39,"Cave Temple & Inscriptions, Bhaja, Mumbai",Bhaja Cave Temple & Inscriptions,950,3,Winter,Medium,"""Ancient cave, fascinating inscriptions.""",Historical
40,"Raigad Fort, Mumbai",Raigad Fort,1000,4,Winter,High,"""Historical fort, panoramic views.""",Historical
41,"Kolaba Fort, Alibag, Mumbai","Kolaba Fort, Alibag",800,2,Year-round,Medium,"""Seaside fort, serene surroundings.""",Historical
42,"Old Fort, Sholapur, Mumbai","Old Fort, Sholapur",850,2,Year-round,Low,"""Less crowded, peaceful visit.""",Historical
43,"Janjira Fort, Murd, Mumbai","Janjira Fort, Murd",1100,3,Winter,Medium,"""Sea fort, enjoyed the boat ride.""",Historical
44,"Kondiote Caves, Mumbai",Kondiote Caves,900,2,Year-round,Medium,"""Hidden caves, interesting exploration.""",Historical
45,"Khajuraho, Madhya Pradesh",Khajuraho,1100,3,Winter,High,"""Intricate temple carvings, rich history.""",Historical
46,"Khajuraho, Madhya Pradesh",Raneh Falls,900,2,Monsoon,Medium,"""Picturesque waterfall, enjoyed the beauty.""",Nature
47,"Khajuraho, Madhya Pradesh",Kandariya Mahadeva Temple,1200,4,Winter,High,"""Architectural marvel, spiritual ambiance.""",Historical
48,"Khajuraho, Madhya Pradesh",Duladeo Temple,1000,3,Year-round,Medium,"""Serene temple, peaceful surroundings.""",Historical
49,"Panna, Madhya Pradesh",Panna National Park,1500,5,Winter,High,"""Wildlife adventure, beautiful landscapes.""",Nature
50,"Rishikesh, Uttarakhand",Rishikesh,800,3,Year-round,High,"""Spiritual vibes, enjoyed the Ganga Aarti.""",Spiritual
51,"Haridwar, Uttarakhand",Haridwar,700,2,Year-round,High,"""Holy dip in the Ganges, spiritual experience.""",Spiritual
52,"Rishikesh, Uttarakhand",Neelkanth Mahadev Temple,900,2,Year-round,Medium,"""Scenic temple, breathtaking views.""",Spiritual
53,"Shillong, Meghalaya",Shillong,1000,4,Summer,Medium,"""Pleasant weather, enjoyed the local culture.""",City
54,"Shillong, Meghalaya",Umiam Lake,1200,3,Winter,High,"""Scenic lake, peaceful boat ride.""",Nature
55,"Shillong, Meghalaya",Mawlynnong Village,1100,3,Monsoon,Medium,"""Cleanest village, eco-friendly experience.""",Village
56,"Bhuj, Gujarat",Kutch Desert Festival,1300,5,Winter,High,"""Cultural extravaganza, vibrant atmosphere.""",Cultural
57,"Bhuj, Gujarat",White Rann of Kutch,1000,3,Winter,High,"""Spectacular white desert, unique experience.""",Nature
58,"Mandvi, Gujarat",Mandvi Beach,900,2,Year-round,Medium,"""Seaside escape, enjoyed the beach.""",Beach
59,"Mandvi, Gujarat",Vijay Vilas Palace,1100,3,Winter,High,"""Royal architecture, fascinating history.""",Historical
60,"Mehrangarh Fort - Jodhpur, Rajasthan",Mehrangarh Fort,1200,4,Winter,High,"""Historical marvel, breathtaking views.""",Historical
61,New Delhi,Red Fort,1300,5,Winter,High,"""Iconic landmark, enjoyed the historical tour.""",City
62,New Delhi,India Gate,1100,3,Year-round,High,"""Patriotic vibes, beautiful architecture.""",City
63,"Jaipur, Rajasthan",Hawa Mahal,1000,3,Year-round,Medium,"""Architectural gem, loved the intricate design.""",City
64,Uttar Pradesh,Varanasi,950,2,Year-round,Medium,"""Spiritual experience, mesmerizing vibes.""",City
65,"Coorg, Karnataka",Mysore,900,2,Year-round,Medium,"""Tranquil escape, beautiful coffee plantations.""",City
66,"Mysore, Karnataka",Mysore,1000,3,Winter,High,"""Historical city, majestic palaces.""",City
67,"Kaziranga National Park, Assam",Kaziranga National Park,1200,4,Winter,High,"""Wildlife adventure, unique flora and fauna.""",Wildlife
68,"Majuli Island, Assam",Majuli Island,1000,3,Winter,Medium,"""Largest river island, serene surroundings.""",Nature
69,"Kamakhya Temple, Assam",Kamakhya Temple,1100,3,Year-round,High,"""Spiritual vibes, ancient architecture.""",Spiritual
70,"Nathula Pass, Sikkim",Nathula Pass,1300,5,Winter,High,"""Snow-covered landscapes, breathtaking views.""",Adventure
71,"Gurudongmar Lake, Sikkim",Gurudongmar Lake,1400,5,Summer,High,"""High-altitude lake, pristine beauty.""",Nature
72,"Rumtek Monastery, Sikkim",Rumtek Monastery,1100,3,Year-round,Medium,"""Sacred monastery, peaceful ambiance.""",Spiritual
73,"Dzukou Valley, Nagaland",Dzukou Valley,1200,4,Summer,High,"""Trekker's paradise, vibrant landscapes.""",Adventure
74,"Kohima War Cemetery, Nagaland",Kohima War Cemetery,900,2,Year-round,Medium,"""Historical significance, peaceful memorial.""",Historical
75,"Intanki Wildlife Sanctuary, Nagaland",Intanki Wildlife Sanctuary,1000,3,Winter,Medium,"""Diverse wildlife, nature enthusiasts' delight.""",Wildlife
76,"Golden Temple, Amritsar","Golden Temple, Amritsar",1000,3,Year-round,High,"""Spiritual haven, stunning architecture.""",Spiritual
77,"Wagah Border Ceremony, Punjab",Wagah Border Ceremony,800,2,Year-round,High,"""Patriotic spectacle, energetic atmosphere.""",Cultural
78,"Jallianwala Bagh, Punjab",Jallianwala Bagh,900,2,Year-round,Medium,"""Historical tragedy, somber reflection.""",Historical
79,"Solang Valley, Himachal Pradesh",Solang Valley,1100,3,Winter,High,"""Adventure hub, skiing and paragliding.""",Adventure
80,"Dharamshala, Himachal Pradesh",Dharamshala,900,2,Year-round,Medium,"""Tibetan culture, scenic landscapes.""",Cultural
81,"Manali, Himachal Pradesh",Manali,1200,4,Summer,High,"""Snow-capped mountains, vibrant markets.""",Nature
82,"Tawang Monastery, Arunachal Pradesh",Tawang Monastery,1300,5,Summer,High,"""Buddhist monastery, panoramic views.""",Spiritual
83,"Namdapha National Park, Arunachal Pradesh",Namdapha National Park,1200,4,Winter,High,"""Biodiversity hotspot, wildlife exploration.""",Wildlife
84,"Sela Pass, Arunachal Pradesh",Sela Pass,1100,3,Year-round,Medium,"""Mountain pass, picturesque landscapes.""",Adventure
85,"Chitrakoot Falls, Chattisgarh",Chitrakoot Falls,1000,3,Monsoon,High,"""Widest waterfall, natural beauty.""",Nature
86,"Sirpur, Chattisgarh",Sirpur,900,2,Year-round,Medium,"""Archaeological site, historical significance.""",Historical
87,"Barnawapara Wildlife Sanctuary, Chattisgarh",Barnawapara Wildlife Sanctuary,1100,3,Winter,High,"""Rich biodiversity, wildlife enthusiast's delight.""",Wildlife
88,"Pashupatinath Temple, Kathmandu",Pashupatinath Temple,1200,4,Year-round,High,"""Sacred Hindu temple, spiritual ambiance.""",Spiritual
89,"Boudhanath Stupa, Kathmandu",Boudhanath Stupa,1000,3,Year-round,High,"""Buddhist stupa, serene surroundings.""",Spiritual
90,"Durbar Square, Kathmandu",Durbar Square,1100,3,Year-round,Medium,"""Historical square, cultural insights.""",Historical
91,"Mahabalipuram, Tamil Nadu",Mahabalipuram,900,2,Year-round,Medium,"""Ancient monuments, seaside charm.""",Historical
92,"Rameswaram, Tamil Nadu",Rameswaram,1000,3,Year-round,High,"""Sacred pilgrimage, scenic landscapes.""",Spiritual
93,"Ooty, Tamil Nadu",Ooty,1200,4,Summer,High,"""Hill station, lush greenery.""",Nature
94,"Lonavala-Khandala, Maharashtra",Lonavala-Khandala,950,2,Monsoon,Medium,"""Scenic hill station, popular monsoon destination.""",Nature
95,"Ajanta and Ellora Caves, Maharashtra",Ajanta and Ellora Caves,1100,3,Winter,High,"""Ancient rock-cut caves, UNESCO World Heritage.""",Historical
96,"Elephanta Caves, Maharashtra",Elephanta Caves,1000,3,Year-round,Medium,"""Historical caves, intricate sculptures.""",Historical
97,"Diu, Daman and Diu",Diu,800,2,Year-round,Medium,"""Seaside escape, Portuguese influence.""",Beach
98,"Naida Caves, Daman and Diu",Naida Caves,850,2,Year-round,Low,"""Ancient caves, historical significance.""",Historical
99,"Jampore Beach, Daman and Diu",Jampore Beach,900,2,Year-round,Medium,"""Peaceful beach, serene atmosphere.""",Beach
100,"Konark Sun Temple, Odisha",Konark Sun Temple,1000,3,Year-round,High,"""Architectural marvel, sun-inspired design.""",Historical
101,"Chilika Lake, Odisha",Chilika Lake,1100,3,Winter,High,"""Largest coastal lagoon, birdwatcher's paradise.""",Nature
102,"Jagannath Temple, Puri, Odisha","Jagannath Temple, Puri",1200,4,Year-round,High,"""Sacred pilgrimage, vibrant festivals.""",Spiritual
103,"Sundarbans, West Bengal",Sundarbans,1300,5,Winter,High,"""Mangrove forests, unique wildlife.""",Wildlife
104,"Victoria Memorial, West Bengal",Victoria Memorial,900,2,Year-round,High,"""Historical monument, lush gardens.""",Historical
105,"Darjeeling, West Bengal",Darjeeling,1000,3,Summer,High,"""Tea gardens, stunning views of the Himalayas.""",Nature
106,"Tirupati, Andhra Pradesh",Tirupati,950,2,Year-round,High,"""Sacred pilgrimage, divine atmosphere.""",Spiritual
107,"Araku Valley, Andhra Pradesh",Araku Valley,1100,3,Winter,High,"""Hill station, coffee plantations.""",Nature
108,"Nagarjunakonda, Andhra Pradesh",Nagarjunakonda,900,2,Year-round,Medium,"""Historical site, ancient ruins.""",Historical
109,"Charminar, Telangana",Charminar,800,2,Year-round,High,"""Iconic monument, historical charm.""",Historical
110,"Golconda Fort, Telangana",Golconda Fort,900,2,Year-round,High,"""Historical fort, panoramic views.""",Historical
111,"Ramoji Film City, Telangana",Ramoji Film City,1000,3,Year-round,High,"""Bollywood experience, film sets and studios.""",Entertainment
112,"Khajuraho, Madhya Pradesh",Khajuraho,1100,3,Winter,High,"""Intricate temple carvings, rich history.""",Historical
113,"Bandhavgarh National Park, MP",Bandhavgarh National Park,1200,4,Winter,High,"""Tiger reserve, wildlife safari.""",Wildlife
114,"Bhimbetka Caves, Madhya Pradesh",Bhimbetka Caves,950,2,Year-round,Medium,"""Prehistoric cave art, UNESCO World Heritage.""",Historical
115,"Fatehpur Sikri, Uttar Pradesh",Fatehpur Sikri,1300,5,Winter,High,"""Historical marvel, architectural grandeur.""",Historical
116,"Vrindavan, Uttar Pradesh",Vrindavan,1000,3,Year-round,High,"""Religious town, vibrant festivities.""",Spiritual
117,"Dudhwa National Park, UP",Dudhwa National Park,1100,3,Winter,High,"""Wildlife sanctuary, diverse flora and fauna.""",Wildlife
118,"Pangong Lake, Leh Ladakh",Pangong Lake,1400,5,Summer,High,"""High-altitude lake, stunning reflections.""",Nature
119,"Nubra Valley, Leh Ladakh",Nubra Valley,1200,4,Summer,High,"""Desert landscape, Bactrian camel rides.""",Adventure
120,"Magnetic Hill, Leh Ladakh",Magnetic Hill,900,2,Year-round,Medium,"""Optical illusion, magnetic phenomenon.""",Unique
121,"Valley of Flowers, Uttarakhand",Valley of Flowers,1100,3,Summer,High,"""Floral paradise, vibrant blooms.""",Nature
122,"Kedarnath, Uttarakhand",Kedarnath,1000,3,Summer,High,"""Himalayan pilgrimage, scenic trek.""",Spiritual
123,"Auli, Uttarakhand",Auli,1200,4,Winter,High,"""Skiing destination, snow-covered slopes.""",Adventure
124,"Bodh Gaya, Bihar",Bodh Gaya,950,2,Year-round,High,"""Buddhist pilgrimage, Mahabodhi Temple.""",Spiritual
125,"Nalanda, Bihar",Nalanda,900,2,Year-round,Medium,"""Ancient university ruins, historical importance.""",Historical
126,"Rajgir, Bihar",Rajgir,850,2,Year-round,Medium,"""Historical city, hot springs.""",Historical
127,"Betla National Park, Jharkhand",Betla National Park,1000,3,Winter,High,"""Tiger reserve, wildlife safari.""",Wildlife
128,"Parasnath Hill, Jharkhand",Parasnath Hill,900,2,Year-round,Medium,"""Jain pilgrimage, panoramic views.""",Spiritual
129,"Hundru Falls, Jharkhand",Hundru Falls,850,2,Monsoon,Medium,"""Picturesque waterfall, natural beauty.""",Nature
130,"Katra, Jammu",Vaishno Devi,950,2,Year-round,High,"""Hindu pilgrimage, trek to the holy cave.""",Spiritual
131,"Gulmarg, Jammu",Gulmarg,1200,4,Winter,High,"""Snowy paradise, skiing and winter sports.""",Adventure
132,"Patnitop, Jammu",Patnitop,900,2,Year-round,Medium,"""Hill station, panoramic views of the Himalayas.""",Nature
133,"Alleppey, Kerala",Alleppey,1000,3,Winter,High,"""Backwaters cruise, serene and scenic.""",Nature
134,"Thekkady, Kerala",Thekkady,1100,3,Winter,High,"""Wildlife sanctuary, boat safari in Periyar River.""",Wildlife
135,"Wayanad, Kerala",Wayanad,950,2,Year-round,Medium,"""Lush green landscapes, tea and spice plantations.""",Nature
136,"Surajkund Mela, Haryana",Surajkund Mela,800,2,Winter,High,"""Crafts fair, vibrant cultural experience.""",Cultural
137,"Sultanpur National Park, Haryana",Sultanpur National Park,900,2,Year-round,High,"""Birdwatcher's paradise, diverse avian species.""",Wildlife
138,"Pinjore Gardens, Haryana",Pinjore Gardens,850,2,Year-round,Medium,"""Mughal-style gardens, peaceful ambiance.""",Nature
139,"India Habitat Centre, Delhi",India Habitat Centre,950,2,Year-round,High,"""Cultural hub, art exhibitions and performances.""",Cultural
140,"Lotus Temple, Delhi",Lotus Temple,900,2,Year-round,High,"""Bah�'� House of Worship, stunning lotus-shaped structure.""",Spiritual
141,"Hauz Khas Village, Delhi",Hauz Khas Village,1000,3,Year-round,High,"""Bohemian charm, trendy cafes and boutiques.""",Urban
142,"Agatti Island, Lakshadweep",Agatti Island,1200,4,Winter,High,"""Coral reefs, scuba diving and water sports.""",Adventure
143,"Kavaratti, Lakshadweep",Kavaratti,1100,3,Year-round,High,"""Lagoon beauty, water activities.""",Nature
144,"Bangaram Island, Lakshadweep",Bangaram Island,1300,5,Winter,High,"""Untouched beauty, pristine beaches.""",Beach
145,"Cellular Jail, Andaman Islands",Cellular Jail,1000,3,Year-round,High,"""Historical prison, light and sound show.""",Historical
146,"Radhanagar Beach, Andaman",Radhanagar Beach,1100,3,Winter,High,"""Asia's best beach, white sands and turquoise waters.""",Beach
147,"Baratang Island, Andaman",Baratang Island,900,2,Year-round,Medium,"""Limestone caves, mangrove forests.""",Nature
148,"Auroville, Puducherry",Auroville,950,2,Year-round,High,"""Experimental township, diverse community living.""",Unique
149,"Promenade Beach, Puducherry",Promenade Beach,900,2,Year-round,High,"""Seaside promenade, relaxing atmosphere.""",Beach
150,"Paradise Beach, Puducherry",Paradise Beach,1000,3,Year-round,High,"""Island beauty, ferry ride and clear blue waters.""",Beach
